timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
317219.53252216673, 0.074331, 0.103425, -0.349653, 0.789630, 0.372543, 0.517685
317219.54261625005, 0.102140, 0.127412, -0.233061, 0.945001, 0.295931, 0.630077
317219.5516387084, 0.105236, 0.134368, -0.116536, 0.994542, 0.199913, 0.705406
317219.5622832501, 0.098745, 0.118817, 0.001139, 0.953743, 0.090761, 0.734897
317219.5725136251, 0.083568, 0.086832, 0.094282, 0.844612, 0.001135, 0.707298
317219.58256591676, 0.060616, 0.052404, 0.156227, 0.687215, -0.085710, 0.628266
317219.5925672501, 0.042381, 0.019483, 0.196567, 0.511941, -0.157478, 0.513493
317219.60252187506, 0.027919, -0.005306, 0.210475, 0.329159, -0.188224, 0.386844
317219.6123437501, 0.013173, -0.016999, 0.205382, 0.238164, -0.191785, 0.322500
317219.62258379173, 0.003750, -0.010139, 0.188673, -0.011093, -0.160169, 0.157606
317219.6325967917, -0.006192, 0.003734, 0.160564, -0.139112, -0.106809, 0.065164
317219.64254275005, -0.011271, 0.016447, 0.126365, -0.224180, -0.044532, -0.009033
317219.6526843334, -0.005942, 0.028303, 0.091795, -0.268015, 0.023348, -0.064787
317219.6623957084, 0.001098, 0.036442, 0.061885, -0.268878, 0.097274, -0.094007
317219.67245450005, 0.015231, 0.048602, 0.037192, -0.226020, 0.181251, -0.092454
317219.68250279175, 0.027332, 0.060724, 0.017653, -0.152754, 0.262754, -0.067437
317219.6923025001, 0.028434, 0.073293, 0.011969, -0.062609, 0.333628, -0.025590
317219.71247787506, 0.027412, 0.085104, 0.043292, 0.155628, 0.445542, 0.083085
317219.7224835834, 0.022345, 0.085475, 0.069483, 0.275008, 0.469071, 0.124456
317219.7325395417, 0.013876, 0.086435, 0.105952, 0.385814, 0.476894, 0.155223
317219.74210766674, 0.011564, 0.077396, 0.148355, 0.437769, 0.466502, 0.163192
317219.7524667917, 0.007857, 0.078648, 0.194640, 0.552755, 0.405992, 0.177433
317219.7624531667, 0.010035, 0.072423, 0.239266, 0.602151, 0.350200, 0.180288
317219.7724562501, 0.018374, 0.070227, 0.279186, 0.624449, 0.288470, 0.170293
317219.78249291674, 0.019645, 0.069810, 0.312643, 0.618082, 0.223804, 0.152117
317219.79252762505, 0.015049, 0.071836, 0.340401, 0.573482, 0.173272, 0.128176
317219.80252112506, 0.014076, 0.070146, 0.364859, 0.497563, 0.117977, 0.102902
317219.81248733343, 0.011581, 0.068575, 0.381180, 0.417782, 0.061165, 0.072114
317219.8225762084, 0.007525, 0.063840, 0.376682, 0.334377, 0.016375, 0.032754
317219.8325827084, 0.000143, 0.056167, 0.357595, 0.245739, -0.017911, -0.017631
317219.8425305834, -0.002569, 0.044811, 0.334251, 0.170462, -0.049843, -0.072271
317219.8524502084, 0.000854, 0.033378, 0.298393, 0.145837, -0.063527, -0.097115
317219.8624677501, 0.005384, 0.025654, 0.249846, 0.118093, -0.093732, -0.141294
317219.8725107501, 0.007327, 0.027093, 0.205574, 0.102052, -0.127473, -0.182783
317219.8815883334, 0.012729, 0.036059, 0.171597, 0.087507, -0.169929, -0.209727
317219.89250929176, 0.016065, 0.040037, 0.135879, 0.079701, -0.208763, -0.228160
317219.90250479174, 0.008061, 0.045689, 0.099835, 0.070282, -0.251178, -0.252966
317219.9125713751, 0.000861, 0.053833, 0.071306, 0.044689, -0.302161, -0.276201
317219.9225267084, 0.001919, 0.058760, 0.034786, 0.018923, -0.341846, -0.295985
317219.9325057917, 0.001139, 0.065271, -0.003769, -0.018407, -0.368577, -0.316496
317219.95256650005, -0.016128, 0.083031, -0.061986, -0.160647, -0.386564, -0.354039
317219.9625213334, -0.014329, 0.083900, -0.107170, -0.241885, -0.338058, -0.357552
317219.9625213334, -0.014329, 0.083900, -0.107170, -0.241885, -0.338058, -0.357552
317219.9825134584, 0.020831, 0.073091, -0.167427, -0.432105, -0.243061, -0.339589
317219.9925118334, 0.023721, 0.082509, -0.156707, -0.578596, -0.305032, -0.333513
317220.00252941676, 0.015837, 0.100196, -0.154743, -0.749032, -0.422177, -0.308850
317220.01254241675, 0.009815, 0.115458, -0.191201, -0.906038, -0.529288, -0.264026
317220.0224943334, -0.004974, 0.124871, -0.258632, -1.021114, -0.606372, -0.210069
317220.0325281667, -0.027063, 0.124049, -0.351252, -1.067527, -0.615129, -0.156386
317220.04251804174, -0.053873, 0.115395, -0.475765, -1.030985, -0.463217, -0.096314
317220.05257237505, -0.070276, 0.103573, -0.588326, -0.918770, -0.158018, -0.025623
317220.06252354174, -0.065589, 0.096629, -0.659370, -0.737323, 0.264702, 0.081495
317220.0725133751, -0.044773, 0.099028, -0.670711, -0.500169, 0.695461, 0.227790
317220.0825213334, -0.018242, 0.099970, -0.595896, -0.230548, 1.017448, 0.385979
317220.0925080001, 0.005600, 0.086443, -0.456784, 0.045780, 1.156911, 0.520785
317220.1025310001, 0.006480, 0.074153, -0.305522, 0.310923, 1.145589, 0.632172
317220.11252429173, -0.000575, 0.056462, -0.160470, 0.550386, 1.008027, 0.720421
317220.1225138334, -0.017515, 0.030510, -0.021906, 0.718130, 0.760241, 0.752760
317220.13258841675, -0.050500, 0.011914, 0.111290, 0.770050, 0.410294, 0.718735
317220.1425100834, -0.075636, -0.031167, 0.232995, 0.693994, -0.012271, 0.607435
317220.1525170001, -0.110309, -0.076552, 0.300074, 0.518607, -0.436651, 0.418742
317220.1624726251, -0.147397, -0.108198, 0.300596, 0.275192, -0.760001, 0.175129
317220.17202691676, -0.182780, -0.123357, 0.241527, -0.010929, -0.886090, -0.076956
317220.1824690834, -0.205507, -0.121429, 0.130351, -0.300258, -0.815056, -0.299997
317220.1919749584, -0.204013, -0.101856, 0.018001, -0.565308, -0.591843, -0.481405
317220.2025090001, -0.183944, -0.075767, -0.074684, -0.776351, -0.277825, -0.612910
317220.22245725006, -0.087279, -0.016749, -0.198835, -0.921166, 0.411670, -0.665036
317220.2325171251, -0.034293, 0.007734, -0.226528, -0.823646, 0.687264, -0.601443
317220.24259766674, 0.002665, 0.031618, -0.213229, -0.645461, 0.867059, -0.496530
317220.2525814584, 0.023465, 0.049719, -0.161674, -0.414627, 0.940463, -0.362183
317220.26245191676, 0.026263, 0.066378, -0.085244, -0.161510, 0.919065, -0.212847
317220.2726349584, 0.016644, 0.075185, -0.004189, 0.095375, 0.841623, -0.073323
317220.2824642917, 0.005204, 0.070641, 0.079099, 0.323538, 0.736675, 0.043956
317220.2920500417, -0.001918, 0.056181, 0.164256, 0.504206, 0.602726, 0.132072
317220.30249950005, -0.007787, 0.037185, 0.242578, 0.630649, 0.445937, 0.187982
317220.31251375005, -0.015313, 0.021836, 0.316842, 0.699788, 0.263941, 0.209194
317220.32243616675, -0.016057, 0.011592, 0.376207, 0.702448, 0.084353, 0.215480
